,machine,N,duration,nodes,node_scaling,co_launch,full_SC,dt,repeat,version,use_cpu,cpu_cores,init_time,run_time,first_last_equal,total_time,Hardware
0,pc,1,60,10,True,False,True,1.0,0,0.1.0rc1+2.g2d4c488,False,16,0.083062694,0.400930479,True,0.483993173,4080 Super GPU
1,pc,1,60,10,True,False,True,1.0,1,0.1.0rc1+2.g2d4c488,False,16,0.010150937,0.392398752,True,0.40254968900000004,4080 Super GPU
2,pc,1,60,100,False,False,False,0.1,0,0.1.0rc1+2.g2d4c488,False,16,0.984157674,4.524239368,True,5.508397042,4080 Super GPU
3,pc,1,60,100,True,False,True,1.0,0,0.1.0rc1+2.g2d4c488,False,16,0.155593092,0.900677903,True,1.056270995,4080 Super GPU
4,pc,1,60,100,False,False,False,0.1,1,0.1.0rc1+2.g2d4c488,False,16,0.942519257,4.546614321,True,5.489133578,4080 Super GPU
5,pc,1,60,100,True,False,True,1.0,1,0.1.0rc1+2.g2d4c488,False,16,0.094273969,0.88895314,True,0.983227109,4080 Super GPU
6,pc,1,60,1000,True,True,True,1.0,0,0.1.0rc1+2.g2d4c488,False,16,1.000549564,4.365633601,True,5.366183165,4080 Super GPU
7,pc,1,60,1000,True,True,True,1.0,1,0.1.0rc1+2.g2d4c488,False,16,0.943021535,4.361559943,True,5.304581477999999,4080 Super GPU
8,pc,1,60,10000,True,True,True,1.0,0,0.1.0rc1+2.g2d4c488,False,16,9.427966179,79.084103974,True,88.512070153,4080 Super GPU
9,pc,1,60,10000,True,True,True,1.0,1,0.1.0rc1+2.g2d4c488,False,16,9.511019715,79.321643572,True,88.832663287,4080 Super GPU
10,pc,2,60,100,False,False,False,0.1,0,0.1.0rc1+2.g2d4c488,False,16,0.976930009,4.373912683,True,5.3508426920000005,4080 Super GPU
11,pc,2,60,100,False,False,False,0.1,1,0.1.0rc1+2.g2d4c488,False,16,0.940227244,4.347669287,True,5.287896531,4080 Super GPU
12,pc,4,60,100,False,False,False,0.1,0,0.1.0rc1+2.g2d4c488,False,16,0.975688164,4.324609249,True,5.300297413,4080 Super GPU
13,pc,4,60,100,False,False,False,0.1,1,0.1.0rc1+2.g2d4c488,False,16,0.942829591,4.233184267,True,5.176013858,4080 Super GPU
14,pc,8,60,100,False,False,False,0.1,0,0.1.0rc1+2.g2d4c488,False,16,0.981788518,4.30550972,True,5.287298238,4080 Super GPU
15,pc,8,60,100,False,False,False,0.1,1,0.1.0rc1+2.g2d4c488,False,16,0.941716927,4.390720263,True,5.33243719,4080 Super GPU
16,pc,16,60,100,False,False,False,0.1,0,0.1.0rc1+2.g2d4c488,False,16,0.990007135,4.322074651,True,5.312081786,4080 Super GPU
17,pc,16,60,100,False,False,False,0.1,1,0.1.0rc1+2.g2d4c488,False,16,0.941472714,4.345722715,True,5.287195429,4080 Super GPU
18,pc,32,60,100,False,False,False,0.1,0,0.1.0rc1+2.g2d4c488,False,16,0.978733745,4.386817942,True,5.365551687,4080 Super GPU
19,pc,32,60,100,False,False,False,0.1,1,0.1.0rc1+2.g2d4c488,False,16,0.944781474,4.32793649,True,5.272717964,4080 Super GPU
20,pc,64,60,100,False,False,False,0.1,0,0.1.0rc1+2.g2d4c488,False,16,0.968160952,4.37283759,True,5.3409985419999995,4080 Super GPU
21,pc,64,60,100,False,False,False,0.1,1,0.1.0rc1+2.g2d4c488,False,16,0.945645339,4.553164898,True,5.498810237000001,4080 Super GPU
22,pc,128,60,100,False,False,False,0.1,0,0.1.0rc1+2.g2d4c488,False,16,0.983781991,6.930779306,True,7.914561297,4080 Super GPU
23,pc,128,60,100,False,False,False,0.1,1,0.1.0rc1+2.g2d4c488,False,16,0.952532295,6.992973162,True,7.945505457,4080 Super GPU
24,pc,256,60,100,False,False,False,0.1,0,0.1.0rc1+2.g2d4c488,False,16,0.986179792,12.846142876,True,13.832322668,4080 Super GPU
25,pc,256,60,100,False,False,False,0.1,1,0.1.0rc1+2.g2d4c488,False,16,0.969273301,12.799808159,True,13.769081459999999,4080 Super GPU
26,pc,512,60,100,False,False,False,0.1,0,0.1.0rc1+2.g2d4c488,False,16,0.992678339,23.231740161,True,24.224418500000002,4080 Super GPU
27,pc,512,60,100,False,False,False,0.1,1,0.1.0rc1+2.g2d4c488,False,16,0.996021316,23.278948931,True,24.274970247,4080 Super GPU
28,pc,1024,60,100,False,False,False,0.1,0,0.1.0rc1+2.g2d4c488,False,16,1.029740875,41.400549008,True,42.430289883,4080 Super GPU
29,pc,1024,60,100,False,False,False,0.1,1,0.1.0rc1+2.g2d4c488,False,16,1.060031519,41.302072685,True,42.362104204,4080 Super GPU
30,pc,2048,60,100,False,False,False,0.1,0,0.1.0rc1+2.g2d4c488,False,16,1.053437311,82.597956076,True,83.651393387,4080 Super GPU
31,pc,2048,60,100,False,False,False,0.1,1,0.1.0rc1+2.g2d4c488,False,16,1.180173002,82.600734396,True,83.780907398,4080 Super GPU
32,pc,4096,60,100,False,False,False,0.1,0,0.1.0rc1+2.g2d4c488,False,16,1.123348403,165.908731988,True,167.032080391,4080 Super GPU
33,pc,4096,60,100,False,False,False,0.1,1,0.1.0rc1+2.g2d4c488,False,16,1.435861092,165.638819128,True,167.07468022,4080 Super GPU
34,pc,8192,60,100,False,False,False,0.1,0,0.1.0rc1+2.g2d4c488,False,16,1.283279933,328.942029446,True,330.225309379,4080 Super GPU
35,pc,8192,60,100,False,False,False,0.1,0,0.1.0rc1+2.g2d4c488,False,16,1.28472845,327.607487611,True,328.892216061,4080 Super GPU
36,pc,16384,60,100,False,False,False,0.1,0,0.1.0rc1+2.g2d4c488,False,16,1.606720223,651.535290994,True,653.142011217,4080 Super GPU
37,pc,16384,60,100,False,False,False,0.1,0,0.1.0rc1+2.g2d4c488,False,16,1.617121097,652.177739728,True,653.794860825,4080 Super GPU
38,pc,32768,60,100,False,False,False,0.1,0,0.1.0rc1+2.g2d4c488,False,16,2.314844924,1302.78013245,True,1305.094977374,4080 Super GPU
39,pc,32768,60,100,False,False,False,0.1,0,0.1.0rc1+2.g2d4c488,False,16,2.339624695,1304.672924687,True,1307.012549382,4080 Super GPU
40,raven,1,60,10,True,False,True,1.0,0,0.1.0rc1+2.g2d4c488,False,144,0.43237284,0.296280606,True,0.728653446,A100 GPU
41,raven,1,60,10,True,False,True,1.0,1,0.1.0rc1+2.g2d4c488,False,144,0.032382062,0.262760502,True,0.295142564,A100 GPU
42,raven,1,60,100,False,False,False,0.1,0,0.1.0rc1+2.g2d4c488,False,144,3.433290441,2.076096897,True,5.509387338,A100 GPU
43,raven,1,60,100,True,False,True,1.0,0,0.1.0rc1+2.g2d4c488,False,144,1.017427722,0.4088581,True,1.426285822,A100 GPU
44,raven,1,60,100,False,False,False,0.1,1,0.1.0rc1+2.g2d4c488,False,144,2.98952912,2.04635502,True,5.03588414,A100 GPU
45,raven,1,60,100,True,False,True,1.0,1,0.1.0rc1+2.g2d4c488,False,144,0.299232434,0.371339389,True,0.670571823,A100 GPU
46,raven,1,60,10000,True,True,True,1.0,0,0.1.0rc1+2.g2d4c488,False,144,30.144985448,96.322161303,True,126.467146751,A100 GPU
47,raven,1,60,10000,True,True,True,1.0,1,0.1.0rc1+2.g2d4c488,False,144,29.944829394,96.502711722,True,126.447541116,A100 GPU
48,raven,2,60,100,False,False,False,0.1,0,0.1.0rc1+2.g2d4c488,False,144,3.41165612,2.042376837,True,5.454032957,A100 GPU
49,raven,2,60,100,False,False,False,0.1,1,0.1.0rc1+2.g2d4c488,False,144,2.98072605,2.044173974,True,5.024900024,A100 GPU
50,raven,4,60,100,False,False,False,0.1,0,0.1.0rc1+2.g2d4c488,False,144,3.296624099,2.060117065,True,5.356741164000001,A100 GPU
51,raven,4,60,100,False,False,False,0.1,1,0.1.0rc1+2.g2d4c488,False,144,2.9726368,2.008143593,True,4.980780393,A100 GPU
52,raven,8,60,100,False,False,False,0.1,0,0.1.0rc1+2.g2d4c488,False,144,3.3952952,2.01228853,True,5.407583730000001,A100 GPU
53,raven,8,60,100,False,False,False,0.1,1,0.1.0rc1+2.g2d4c488,False,144,2.982943611,2.004600177,True,4.987543788,A100 GPU
54,raven,16,60,100,False,False,False,0.1,0,0.1.0rc1+2.g2d4c488,False,144,4.128547064,2.069189429,True,6.197736493000001,A100 GPU
55,raven,16,60,100,False,False,False,0.1,1,0.1.0rc1+2.g2d4c488,False,144,2.979930146,2.031617671,True,5.011547817,A100 GPU
56,raven,32,60,100,False,False,False,0.1,0,0.1.0rc1+2.g2d4c488,False,144,4.112809886,2.124143404,True,6.23695329,A100 GPU
57,raven,32,60,100,False,False,False,0.1,1,0.1.0rc1+2.g2d4c488,False,144,2.970626133,2.07044364,True,5.041069773,A100 GPU
58,raven,64,60,100,False,False,False,0.1,0,0.1.0rc1+2.g2d4c488,False,144,4.143316591,2.097138031,True,6.240454622,A100 GPU
59,raven,64,60,100,False,False,False,0.1,1,0.1.0rc1+2.g2d4c488,False,144,3.007068494,2.084255254,True,5.091323748,A100 GPU
60,raven,128,60,100,False,False,False,0.1,0,0.1.0rc1+2.g2d4c488,False,144,4.126509088,2.832801695,True,6.959310782999999,A100 GPU
61,raven,128,60,100,False,False,False,0.1,1,0.1.0rc1+2.g2d4c488,False,144,3.016919546,2.998173349,True,6.015092895,A100 GPU
